link,price,title
https://atlanta.craigslist.org/nat/cto/d/lawrenceville-great-first-car-for-sale/6936397863.html,$1000,Great First Car For Sale
https://atlanta.craigslist.org/nat/cto/d/duluth-mercedes-slk230-sport/6936396089.html,$5100,"Mercedes SLK230 Sport, Convertible, Kompressor, 55K miles!!"
https://atlanta.craigslist.org/atl/cto/d/talladega-silverado/6936395358.html,$6500,Silverado
https://atlanta.craigslist.org/nat/cto/d/marietta-nissan-sentra-2007/6936394979.html,$1250,Nissan Sentra 2007
https://atlanta.craigslist.org/nat/cto/d/atlanta-2016-lexus-rx350-ultra-lux/6936393836.html,$36000,2016 Lexus RX350-Ultra Lux-Safety- HUD-Mark Lev- Pano Roof- AWD
https://atlanta.craigslist.org/atl/cto/d/atlanta-1996-chevy-impala-ss/6936391258.html,$12500,1996 Chevy Impala SS
https://atlanta.craigslist.org/atl/cto/d/decatur-2007-jeep-compass/6936390440.html,$40000,2007 jeep compass
https://atlanta.craigslist.org/nat/cto/d/hoschton-2006-volkswagen-jetta/6936389750.html,$3500,2006 Volkswagen Jetta
https://atlanta.craigslist.org/wat/cto/d/douglasville-2014-chevrolet-impala/6936388955.html,$5500,2014 CHEVROLET IMPALA LIMITED LS
https://atlanta.craigslist.org/atl/cto/d/duluth-2015-audi-a5-20t-premium-quattro/6936388480.html,$22500,2015 Audi A5 2.0T Premium quattro Coupe
https://atlanta.craigslist.org/nat/cto/d/rome-mazda-miata/6936383958.html,$3500,Mazda Miata
https://atlanta.craigslist.org/atl/cto/d/morrow-2009-lexus-es-350/6936383826.html,$4800,2009 LEXUS ES 350
https://atlanta.craigslist.org/wat/cto/d/dallas-2006-acura-rsx-type/6936383584.html,$8200,2006 Acura RSX Type S
https://atlanta.craigslist.org/wat/cto/d/douglasville-2012-ford-e150-cargo-van/6936383110.html,$6900,2012 FORD E150 CARGO VAN
https://atlanta.craigslist.org/atl/cto/d/lawrenceville-honda-accord-drives-great/6936382580.html,$1800,Honda Accord Drives great! Nice comfortable vehicle ex-l
